ticker,behavior,entry_rule,lookback,hold_days,target_pct,initial_stop_pct,volume_filter,risk_tier,size_multiplier,rationale
MSFT,trend_following,trend_pullback_resume,20,15,5.0,3.5,0.9,medium,0.75,السهم أقرب للترند، لذلك التصميم يدخل عند استئناف الاتجاه بعد تهدئة قصيرة.
NVDA,breakout,close_above_prior_high,55,10,7.81,6.39,1.05,medium,0.75,السهم ينجح تاريخيًا بعد اختراق القمم، لذلك التصميم يركز على اختراق مؤكد بحجم أعلى من المتوسط.
GOOGL,breakout,close_above_prior_high,20,10,5.04,4.12,1.05,medium,0.75,السهم ينجح تاريخيًا بعد اختراق القمم، لذلك التصميم يركز على اختراق مؤكد بحجم أعلى من المتوسط.
AMZN,pullback_recovery,five_day_drop_recovery,5,8,4.14,3.45,0.85,medium,0.75,السهم يميل للتعافي بعد الهبوط، لذلك التصميم ينتظر هبوطًا واضحًا ثم يوم تعافٍ.
TSLA,trend_following,trend_pullback_resume,20,15,10.27,7.28,0.9,high,0.5,السهم أقرب للترند، لذلك التصميم يدخل عند استئناف الاتجاه بعد تهدئة قصيرة.
META,trend_following,trend_pullback_resume,20,15,6.17,4.37,0.9,medium,0.75,السهم أقرب للترند، لذلك التصميم يدخل عند استئناف الاتجاه بعد تهدئة قصيرة.
AVGO,breakout,close_above_prior_high,55,10,7.81,6.39,1.05,medium,0.75,السهم ينجح تاريخيًا بعد اختراق القمم، لذلك التصميم يركز على اختراق مؤكد بحجم أعلى من المتوسط.
LLY,pullback_recovery,five_day_drop_recovery,5,8,4.81,4.0,0.85,medium,0.75,السهم يميل للتعافي بعد الهبوط، لذلك التصميم ينتظر هبوطًا واضحًا ثم يوم تعافٍ.
COST,trend_following,trend_pullback_resume,20,15,5.0,3.5,0.9,low,1.0,السهم أقرب للترند، لذلك التصميم يدخل عند استئناف الاتجاه بعد تهدئة قصيرة.
CRM,mixed_or_choppy,reduced_size_breakout_only,100,7,3.68,3.16,1.15,high,0.5,السلوك مختلط، لذلك التصميم أكثر تحفظًا ويحتاج اختراقًا قويًا وحجمًا أعلى.
ADBE,mixed_or_choppy,reduced_size_breakout_only,100,7,3.46,2.96,1.15,high,0.5,السلوك مختلط، لذلك التصميم أكثر تحفظًا ويحتاج اختراقًا قويًا وحجمًا أعلى.
AMD,trend_following,trend_pullback_resume,20,15,9.53,6.75,0.9,high,0.5,السهم أقرب للترند، لذلك التصميم يدخل عند استئناف الاتجاه بعد تهدئة قصيرة.
TMO,mixed_or_choppy,reduced_size_breakout_only,100,7,3.16,2.71,1.15,medium,0.75,السلوك مختلط، لذلك التصميم أكثر تحفظًا ويحتاج اختراقًا قويًا وحجمًا أعلى.
NOW,mixed_or_choppy,reduced_size_breakout_only,100,7,3.99,3.42,1.15,high,0.5,السلوك مختلط، لذلك التصميم أكثر تحفظًا ويحتاج اختراقًا قويًا وحجمًا أعلى.
INTU,mixed_or_choppy,reduced_size_breakout_only,100,7,3.51,3.01,1.15,high,0.5,السلوك مختلط، لذلك التصميم أكثر تحفظًا ويحتاج اختراقًا قويًا وحجمًا أعلى.
ISRG,pullback_recovery,five_day_drop_recovery,5,8,4.23,3.53,0.85,medium,0.75,السهم يميل للتعافي بعد الهبوط، لذلك التصميم ينتظر هبوطًا واضحًا ثم يوم تعافٍ.
SNPS,mixed_or_choppy,reduced_size_breakout_only,100,7,4.26,3.65,1.15,medium,0.75,السلوك مختلط، لذلك التصميم أكثر تحفظًا ويحتاج اختراقًا قويًا وحجمًا أعلى.
PANW,pullback_recovery,five_day_drop_recovery,5,8,5.31,4.43,0.85,medium,0.75,السهم يميل للتعافي بعد الهبوط، لذلك التصميم ينتظر هبوطًا واضحًا ثم يوم تعافٍ.
ANET,pullback_recovery,five_day_drop_recovery,5,8,6.39,5.32,0.85,high,0.5,السهم يميل للتعافي بعد الهبوط، لذلك التصميم ينتظر هبوطًا واضحًا ثم يوم تعافٍ.
KLAC,breakout,close_above_prior_high,20,10,7.0,5.72,1.05,medium,0.75,السهم ينجح تاريخيًا بعد اختراق القمم، لذلك التصميم يركز على اختراق مؤكد بحجم أعلى من المتوسط.
LRCX,breakout,close_above_prior_high,20,10,7.52,6.16,1.05,high,0.5,السهم ينجح تاريخيًا بعد اختراق القمم، لذلك التصميم يركز على اختراق مؤكد بحجم أعلى من المتوسط.
CDNS,pullback_recovery,five_day_drop_recovery,5,8,5.0,4.17,0.85,medium,0.75,السهم يميل للتعافي بعد الهبوط، لذلك التصميم ينتظر هبوطًا واضحًا ثم يوم تعافٍ.
FTNT,pullback_recovery,five_day_drop_recovery,5,8,5.02,4.19,0.85,medium,0.75,السهم يميل للتعافي بعد الهبوط، لذلك التصميم ينتظر هبوطًا واضحًا ثم يوم تعافٍ.
MRVL,pullback_recovery,five_day_drop_recovery,5,8,7.69,6.4,0.85,high,0.5,السهم يميل للتعافي بعد الهبوط، لذلك التصميم ينتظر هبوطًا واضحًا ثم يوم تعافٍ.
TEAM,breakout,close_above_prior_high,20,10,8.71,7.13,1.05,high,0.5,السهم ينجح تاريخيًا بعد اختراق القمم، لذلك التصميم يركز على اختراق مؤكد بحجم أعلى من المتوسط.
DDOG,trend_following,trend_pullback_resume,20,15,8.47,6.0,0.9,high,0.5,السهم أقرب للترند، لذلك التصميم يدخل عند استئناف الاتجاه بعد تهدئة قصيرة.
TTD,mixed_or_choppy,reduced_size_breakout_only,100,7,5.35,4.58,1.15,high,0.5,السلوك مختلط، لذلك التصميم أكثر تحفظًا ويحتاج اختراقًا قويًا وحجمًا أعلى.
HUBS,mixed_or_choppy,reduced_size_breakout_only,100,7,5.36,4.6,1.15,high,0.5,السلوك مختلط، لذلك التصميم أكثر تحفظًا ويحتاج اختراقًا قويًا وحجمًا أعلى.
ZS,mixed_or_choppy,reduced_size_breakout_only,100,7,4.75,4.07,1.15,high,0.5,السلوك مختلط، لذلك التصميم أكثر تحفظًا ويحتاج اختراقًا قويًا وحجمًا أعلى.
NET,breakout,close_above_prior_high,20,10,8.98,7.34,1.05,high,0.5,السهم ينجح تاريخيًا بعد اختراق القمم، لذلك التصميم يركز على اختراق مؤكد بحجم أعلى من المتوسط.
CRWD,pullback_recovery,five_day_drop_recovery,5,8,6.71,5.59,0.85,medium,0.75,السهم يميل للتعافي بعد الهبوط، لذلك التصميم ينتظر هبوطًا واضحًا ثم يوم تعافٍ.
SNOW,mixed_or_choppy,reduced_size_breakout_only,100,7,5.1,4.37,1.15,high,0.5,السلوك مختلط، لذلك التصميم أكثر تحفظًا ويحتاج اختراقًا قويًا وحجمًا أعلى.
WDAY,mixed_or_choppy,reduced_size_breakout_only,100,7,3.91,3.35,1.15,high,0.5,السلوك مختلط، لذلك التصميم أكثر تحفظًا ويحتاج اختراقًا قويًا وحجمًا أعلى.
NKE,mixed_or_choppy,reduced_size_breakout_only,100,7,3.33,2.86,1.15,high,0.5,السلوك مختلط، لذلك التصميم أكثر تحفظًا ويحتاج اختراقًا قويًا وحجمًا أعلى.
CAT,breakout,close_above_prior_high,55,10,5.15,4.21,1.05,medium,0.75,السهم ينجح تاريخيًا بعد اختراق القمم، لذلك التصميم يركز على اختراق مؤكد بحجم أعلى من المتوسط.
HON,pullback_recovery,five_day_drop_recovery,5,8,4.0,3.0,0.85,low,1.0,السهم يميل للتعافي بعد الهبوط، لذلك التصميم ينتظر هبوطًا واضحًا ثم يوم تعافٍ.
LIN,pullback_recovery,five_day_drop_recovery,5,8,4.0,3.0,0.85,low,1.0,السهم يميل للتعافي بعد الهبوط، لذلك التصميم ينتظر هبوطًا واضحًا ثم يوم تعافٍ.
REGN,mixed_or_choppy,reduced_size_breakout_only,100,7,3.61,3.1,1.15,high,0.5,السلوك مختلط، لذلك التصميم أكثر تحفظًا ويحتاج اختراقًا قويًا وحجمًا أعلى.
VRTX,pullback_recovery,five_day_drop_recovery,5,8,4.09,3.41,0.85,medium,0.75,السهم يميل للتعافي بعد الهبوط، لذلك التصميم ينتظر هبوطًا واضحًا ثم يوم تعافٍ.
ABNB,pullback_recovery,five_day_drop_recovery,5,8,4.81,4.0,0.85,medium,0.75,السهم يميل للتعافي بعد الهبوط، لذلك التصميم ينتظر هبوطًا واضحًا ثم يوم تعافٍ.
SHOP,trend_following,trend_pullback_resume,20,15,9.5,6.73,0.9,high,0.5,السهم أقرب للترند، لذلك التصميم يدخل عند استئناف الاتجاه بعد تهدئة قصيرة.
SPOT,trend_following,trend_pullback_resume,20,15,8.14,5.76,0.9,high,0.5,السهم أقرب للترند، لذلك التصميم يدخل عند استئناف الاتجاه بعد تهدئة قصيرة.
