period,start_date,end_date,key,label,portfolio_value,pnl,period_return_pct,annual_return_pct,max_drawdown_pct,trades,closed,open,wins,losses,win_rate,avg_win_pct,avg_loss_pct
2021 - اختيار,2021-01-01,2021-12-31,next_high_0_5,أعلى اليوم ثم تفعيل الجلسة التالية: درجة 0.5 بالمئة,20432.67,10432.67,104.33,104.83,-7.54,160,160,0,145,15,90.62,2.66,-4.59
2021 - اختيار,2021-01-01,2021-12-31,next_high_1_0,أعلى اليوم ثم تفعيل الجلسة التالية: درجة 1 بالمئة,19235.45,9235.45,92.35,92.79,-7.65,157,157,0,138,19,87.9,2.8,-5.31
2021 - اختيار,2021-01-01,2021-12-31,next_high_1_5,أعلى اليوم ثم تفعيل الجلسة التالية: درجة 1.5 بالمئة,16835.35,6835.35,68.35,68.65,-7.94,148,148,0,123,25,83.11,3.15,-5.37
2021 - اختيار,2021-01-01,2021-12-31,next_high_1_8,أعلى اليوم ثم تفعيل الجلسة التالية: درجة 1.8 بالمئة,15247.47,5247.47,52.47,52.7,-8.49,145,145,0,115,30,79.31,3.45,-5.52
2021 - اختيار,2021-01-01,2021-12-31,next_high_2_0,أعلى اليوم ثم تفعيل الجلسة التالية: درجة 2 بالمئة,15489.45,5489.45,54.89,55.13,-8.12,144,144,0,114,30,79.17,3.53,-5.61
2021 - اختيار,2021-01-01,2021-12-31,next_high_3_0,أعلى اليوم ثم تفعيل الجلسة التالية: درجة 3 بالمئة,15000.19,5000.19,50.0,50.21,-9.16,143,143,0,106,37,74.13,3.92,-5.44
2021 - اختيار,2021-01-01,2021-12-31,next_high_4_0,أعلى اليوم ثم تفعيل الجلسة التالية: درجة 4 بالمئة,13990.56,3990.56,39.91,40.07,-11.94,139,138,1,91,47,65.94,4.68,-5.38
2021 - اختيار,2021-01-01,2021-12-31,next_high_5_0,أعلى اليوم ثم تفعيل الجلسة التالية: درجة 5 بالمئة,12590.91,2590.91,25.91,26.01,-14.75,138,137,1,84,53,61.31,4.96,-5.36
2021-2026 وصفي,2021-01-01,2026-05-22,current,الحالي: رفع داخل الجلسة بدرجة 1 بالمئة,91479.37,81479.37,814.79,50.84,-20.22,871,870,1,769,101,88.39,1.87,-6.12
2021-2026 وصفي,2021-01-01,2026-05-22,intraday_1_8,المقارنة السابقة: رفع داخل الجلسة بدرجة 1.8 بالمئة,94659.1,84659.1,846.59,51.8,-22.11,839,838,1,700,138,83.53,2.46,-6.1
2021-2026 وصفي,2021-01-01,2026-05-22,selected,المختارة من 2021: أعلى اليوم ثم الجلسة التالية بدرجة 0.5 بالمئة,469767.33,459767.33,4597.67,104.39,-10.75,764,762,2,673,89,88.32,2.95,-5.29
2022-2026 خارج الاختيار,2022-01-01,2026-05-22,current,الحالي: رفع داخل الجلسة بدرجة 1 بالمئة,62979.17,52979.17,529.79,52.13,-19.97,688,687,1,607,80,88.36,1.92,-6.14
2022-2026 خارج الاختيار,2022-01-01,2026-05-22,intraday_1_8,المقارنة السابقة: رفع داخل الجلسة بدرجة 1.8 بالمئة,75553.22,65553.22,655.53,58.58,-22.25,671,670,1,567,103,84.63,2.51,-6.28
2022-2026 خارج الاختيار,2022-01-01,2026-05-22,selected,المختارة من 2021: أعلى اليوم ثم الجلسة التالية بدرجة 0.5 بالمئة,228469.76,218469.76,2184.7,104.08,-10.69,604,602,2,528,74,87.71,3.03,-5.43
2022,2022-01-01,2022-12-31,current,الحالي: رفع داخل الجلسة بدرجة 1 بالمئة,9671.66,-328.34,-3.28,-3.29,-19.97,110,108,2,85,23,78.7,1.64,-6.65
2022,2022-01-01,2022-12-31,intraday_1_8,المقارنة السابقة: رفع داخل الجلسة بدرجة 1.8 بالمئة,9734.97,-265.03,-2.65,-2.66,-22.25,108,106,2,79,27,74.53,2.27,-6.88
2022,2022-01-01,2022-12-31,selected,المختارة من 2021: أعلى اليوم ثم الجلسة التالية بدرجة 0.5 بالمئة,12756.75,2756.75,27.57,27.67,-10.69,103,101,2,81,20,80.2,2.74,-5.73
2023,2023-01-01,2023-12-31,current,الحالي: رفع داخل الجلسة بدرجة 1 بالمئة,14899.0,4899.0,48.99,49.19,-4.84,152,152,0,134,18,88.16,1.77,-4.97
2023,2023-01-01,2023-12-31,intraday_1_8,المقارنة السابقة: رفع داخل الجلسة بدرجة 1.8 بالمئة,15726.38,5726.38,57.26,57.51,-5.38,148,147,1,124,23,84.35,2.4,-4.78
2023,2023-01-01,2023-12-31,selected,المختارة من 2021: أعلى اليوم ثم الجلسة التالية بدرجة 0.5 بالمئة,18632.15,8632.15,86.32,86.72,-3.75,133,133,0,116,17,87.22,2.72,-4.06
2024,2024-01-01,2024-12-31,current,الحالي: رفع داخل الجلسة بدرجة 1 بالمئة,18029.52,8029.52,80.3,80.37,-6.53,178,178,0,161,17,90.45,1.93,-6.21
2024,2024-01-01,2024-12-31,intraday_1_8,المقارنة السابقة: رفع داخل الجلسة بدرجة 1.8 بالمئة,20600.37,10600.37,106.0,106.11,-7.36,174,172,2,153,19,88.95,2.5,-6.26
2024,2024-01-01,2024-12-31,selected,المختارة من 2021: أعلى اليوم ثم الجلسة التالية بدرجة 0.5 بالمئة,24151.6,14151.6,141.52,141.66,-7.11,149,149,0,132,17,88.59,3.4,-6.28
2025,2025-01-01,2025-12-31,current,الحالي: رفع داخل الجلسة بدرجة 1 بالمئة,15899.19,5899.19,58.99,59.25,-7.72,151,149,2,138,11,92.62,1.99,-6.8
2025,2025-01-01,2025-12-31,intraday_1_8,المقارنة السابقة: رفع داخل الجلسة بدرجة 1.8 بالمئة,15065.64,5065.64,50.66,50.87,-11.25,145,142,3,124,18,87.32,2.56,-7.03
2025,2025-01-01,2025-12-31,selected,المختارة من 2021: أعلى اليوم ثم الجلسة التالية بدرجة 0.5 بالمئة,21458.87,11458.87,114.59,115.15,-5.99,131,130,1,119,11,91.54,2.91,-6.02
2026,2026-01-01,2026-05-22,current,الحالي: رفع داخل الجلسة بدرجة 1 بالمئة,14100.88,4100.88,41.01,143.56,-5.39,97,96,1,85,11,88.54,2.33,-6.25
2026,2026-01-01,2026-05-22,intraday_1_8,المقارنة السابقة: رفع داخل الجلسة بدرجة 1.8 بالمئة,14603.62,4603.62,46.04,166.7,-6.29,96,95,1,80,15,84.21,2.87,-6.64
2026,2026-01-01,2026-05-22,selected,المختارة من 2021: أعلى اليوم ثم الجلسة التالية بدرجة 0.5 بالمئة,17371.3,7371.3,73.71,318.09,-4.18,88,86,2,77,9,89.53,3.35,-5.02
