behavior,drop_pct,entry_rule,hold_days,initial_stop_pct,lookback,ma_period,market_filter,max_extension20,rsi_cross_above,rsi_period,selected_version,size_multiplier,stop_model,strategy_id,target_pct,ticker,timeframe,v3_quality_score,v3_reason,version,volume_filter
raw_ma_reclaim_swing,,raw_ma_reclaim,8,99,50,50,soft_market,,,,v3_raw_rebuild,1.0,atr_support,AMD_swing_raw_ma_50_4_8_soft_market,4,AMD,swing,101.67,نقاط الجودة 101.67؛ فوز 88.89%؛ متوسط 5.53%؛ أسوأ -6.19%,v3_raw_rebuild,0.8
raw_breakout_monthly,,raw_breakout,21,99,20,,soft_market,25,,,v3_raw_rebuild,1.0,atr_support,AMD_monthly_raw_breakout_20_6_21_25_soft_market,6,AMD,monthly,137.14,نقاط الجودة 137.14؛ فوز 100.00%؛ متوسط 6.40%؛ أسوأ 2.00%,v3_raw_rebuild,1.0
raw_rsi_recovery_swing,,raw_rsi_recovery,5,99,14,,none,,40,14,v3_raw_rebuild,1.0,atr_support,ANET_swing_raw_rsi_14_40_4_5_none,4,ANET,swing,104.9,نقاط الجودة 104.90؛ فوز 100.00%؛ متوسط 3.67%؛ أسوأ 1.00%,v3_raw_rebuild,1.0
raw_rsi_recovery_monthly,,raw_rsi_recovery,10,99,14,,none,,40,14,v3_raw_rebuild,1.0,atr_support,ANET_monthly_raw_rsi_14_40_6_10_none,6,ANET,monthly,104.9,نقاط الجودة 104.90؛ فوز 100.00%؛ متوسط 3.67%؛ أسوأ 1.00%,v3_raw_rebuild,1.0
raw_rsi_recovery_swing,,raw_rsi_recovery,5,99,14,,soft_market,,45,14,v3_raw_rebuild,1.0,atr_support,AVGO_swing_raw_rsi_14_45_4_5_soft_market,4,AVGO,swing,98.79,نقاط الجودة 98.79؛ فوز 87.50%؛ متوسط 4.11%؛ أسوأ -1.15%,v3_raw_rebuild,1.0
raw_rsi_recovery_monthly,,raw_rsi_recovery,10,99,14,,soft_market,,45,14,v3_raw_rebuild,1.0,atr_support,AVGO_monthly_raw_rsi_14_45_6_10_soft_market,6,AVGO,monthly,112.83,نقاط الجودة 112.83؛ فوز 100.00%؛ متوسط 4.50%؛ أسوأ 1.00%,v3_raw_rebuild,1.0
raw_trend_resume_swing,1.5,raw_trend_resume,13,99,8,,soft_market,,,,v3_raw_rebuild,1.0,atr_support,LRCX_swing_raw_trend_8_1.5_4_13_soft_market,4,LRCX,swing,98.45,نقاط الجودة 98.45؛ فوز 100.00%؛ متوسط 3.00%؛ أسوأ 1.00%,v3_raw_rebuild,0.8
raw_pullback_monthly,5,raw_pullback_reversal,25,99,3,,none,,,,v3_raw_rebuild,1.0,atr_support,LRCX_monthly_raw_pullback_3_5_6_25_none,6,LRCX,monthly,104.66,نقاط الجودة 104.66؛ فوز 100.00%؛ متوسط 3.45%؛ أسوأ 1.00%,v3_raw_rebuild,0.75
raw_breakout_swing,,raw_breakout,8,99,20,,none,40,,,v3_raw_rebuild,1.0,atr_support,MRVL_swing_raw_breakout_20_4_8_40_none,4,MRVL,swing,115.34,نقاط الجودة 115.34؛ فوز 100.00%؛ متوسط 3.58%؛ أسوأ 1.00%,v3_raw_rebuild,1.0
raw_pullback_monthly,3,raw_pullback_reversal,25,99,3,,none,,,,v3_raw_rebuild,1.0,atr_support,MRVL_monthly_raw_pullback_3_3_6_25_none,6,MRVL,monthly,116.24,نقاط الجودة 116.24؛ فوز 100.00%؛ متوسط 4.33%؛ أسوأ 1.00%,v3_raw_rebuild,0.75
raw_breakout_swing,,raw_breakout,5,99,100,,none,25,,,v3_raw_rebuild,1.0,atr_support,NVDA_swing_raw_breakout_100_4_5_25_none,4,NVDA,swing,89.62,نقاط الجودة 89.62؛ فوز 100.00%؛ متوسط 2.08%؛ أسوأ 1.00%,v3_raw_rebuild,1.0
raw_rsi_recovery_monthly,,raw_rsi_recovery,21,99,10,,none,,30,10,v3_raw_rebuild,1.0,atr_support,NVDA_monthly_raw_rsi_10_30_6_21_none,6,NVDA,monthly,95.05,نقاط الجودة 95.05؛ فوز 100.00%؛ متوسط 2.70%؛ أسوأ 1.00%,v3_raw_rebuild,1.0
raw_rsi_recovery_swing,,raw_rsi_recovery,5,99,10,,none,,30,10,v3_raw_rebuild,1.0,atr_support,PANW_swing_raw_rsi_10_30_4_5_none,4,PANW,swing,97.5,نقاط الجودة 97.50؛ فوز 100.00%؛ متوسط 3.00%؛ أسوأ 1.00%,v3_raw_rebuild,1.0
raw_rsi_recovery_monthly,,raw_rsi_recovery,10,99,10,,none,,30,10,v3_raw_rebuild,1.0,atr_support,PANW_monthly_raw_rsi_10_30_6_10_none,6,PANW,monthly,97.5,نقاط الجودة 97.50؛ فوز 100.00%؛ متوسط 3.00%؛ أسوأ 1.00%,v3_raw_rebuild,1.0
raw_pullback_swing,7,raw_pullback_reversal,10,99,8,,none,,,,v3_raw_rebuild,1.0,atr_support,SHOP_swing_raw_pullback_8_7_4_10_none,4,SHOP,swing,95.21,نقاط الجودة 95.21؛ فوز 100.00%؛ متوسط 2.43%؛ أسوأ 1.00%,v3_raw_rebuild,0.75
raw_pullback_monthly,7,raw_pullback_reversal,21,99,8,,none,,,,v3_raw_rebuild,1.0,atr_support,SHOP_monthly_raw_pullback_8_7_6_21_none,6,SHOP,monthly,96.16,نقاط الجودة 96.16؛ فوز 100.00%؛ متوسط 2.80%؛ أسوأ 1.00%,v3_raw_rebuild,0.75
raw_breakout_swing,,raw_breakout,10,99,55,,none,40,,,v3_raw_rebuild,1.0,atr_support,TSLA_swing_raw_breakout_55_4_10_40_none,4,TSLA,swing,113.56,نقاط الجودة 113.56؛ فوز 100.00%؛ متوسط 4.44%؛ أسوأ 1.00%,v3_raw_rebuild,1.0
raw_breakout_monthly,,raw_breakout,10,99,55,,none,40,,,v3_raw_rebuild,1.0,atr_support,TSLA_monthly_raw_breakout_55_6_10_40_none,6,TSLA,monthly,113.56,نقاط الجودة 113.56؛ فوز 100.00%؛ متوسط 4.44%؛ أسوأ 1.00%,v3_raw_rebuild,1.0
